source,file,run,size,activity,ns
ncdc,ncdc_07030.json,10,111,reading json,431618
ncdc,ncdc_07030.json,10,111,inodes,31518
ncdc,ncdc_07030.json,10,111,saving,20509
ncdc,ncdc_07030.json,10,111,writing,26573
doi,doi_smoosh.json,5,537,reading json,979869
doi,doi_smoosh.json,5,537,inodes,85518
doi,doi_smoosh.json,5,537,saving,44687
doi,doi_smoosh.json,5,537,writing,28731
ncdc,ncdc_ewr_station.json,8,191,reading json,538446
ncdc,ncdc_ewr_station.json,8,191,inodes,42581
ncdc,ncdc_ewr_station.json,8,191,saving,27181
ncdc,ncdc_ewr_station.json,8,191,writing,23940
ncdc,ncdc_07030.json,9,111,reading json,191674
ncdc,ncdc_07030.json,9,111,inodes,29554
ncdc,ncdc_07030.json,9,111,saving,21555
ncdc,ncdc_07030.json,9,111,writing,21568
fda,tobacco100.json,6,63634,reading json,83321760
fda,tobacco100.json,6,63634,inodes,1065987
fda,tobacco100.json,6,63634,saving,818362
fda,tobacco100.json,6,63634,writing,714635
json_org,json_eg1.json,6,583,reading json,799666
json_org,json_eg1.json,6,583,inodes,58544
json_org,json_eg1.json,6,583,saving,34616
json_org,json_eg1.json,6,583,writing,20519
penguin,dekeijzer.json,6,446,reading json,981338
penguin,dekeijzer.json,6,446,inodes,33291
penguin,dekeijzer.json,6,446,saving,34628
penguin,dekeijzer.json,6,446,writing,26908
fda,waterpipe.json,3,1955,reading json,2685721
fda,waterpipe.json,3,1955,inodes,74111
fda,waterpipe.json,3,1955,saving,52369
fda,waterpipe.json,3,1955,writing,34919
json_org,json_eg1.json,4,583,reading json,798447
json_org,json_eg1.json,4,583,inodes,57370
json_org,json_eg1.json,4,583,saving,30754
json_org,json_eg1.json,4,583,writing,22394
gh,gh_gpl3.json,5,36979,reading json,49433712
gh,gh_gpl3.json,5,36979,inodes,70626
gh,gh_gpl3.json,5,36979,saving,79376
gh,gh_gpl3.json,5,36979,writing,222160
fda,tobacco_products.json,4,2345,reading json,3074299
fda,tobacco_products.json,4,2345,inodes,84693
fda,tobacco_products.json,4,2345,saving,67549
fda,tobacco_products.json,4,2345,writing,44591
fda,event100.json,5,2945177,reading json,3682362925
fda,event100.json,5,2945177,inodes,46501210
fda,event100.json,5,2945177,saving,28075869
fda,event100.json,5,2945177,writing,19882857
ncdc,ncdc_ewr_station.json,1,191,reading json,299840
ncdc,ncdc_ewr_station.json,1,191,inodes,31958
ncdc,ncdc_ewr_station.json,1,191,saving,23241
ncdc,ncdc_ewr_station.json,1,191,writing,27077
gh,ffs_issues.json,2,38158,reading json,52606117
gh,ffs_issues.json,2,38158,inodes,681533
gh,ffs_issues.json,2,38158,saving,573127
gh,ffs_issues.json,2,38158,writing,511388
penguin,rust.json,5,161726,reading json,208310844
penguin,rust.json,5,161726,inodes,770728
penguin,rust.json,5,161726,saving,815652
penguin,rust.json,5,161726,writing,770769
gh,mgree_repos.json,9,159905,reading json,211167274
gh,mgree_repos.json,9,159905,inodes,1853105
gh,mgree_repos.json,9,159905,saving,2491718
gh,mgree_repos.json,9,159905,writing,1890915
json_org,json_eg3.json,1,602,reading json,1017589
json_org,json_eg3.json,1,602,inodes,38317
json_org,json_eg3.json,1,602,saving,39482
json_org,json_eg3.json,1,602,writing,23616
gh,gh_emoji.json,8,173641,reading json,223875308
gh,gh_emoji.json,8,173641,inodes,1350039
gh,gh_emoji.json,8,173641,saving,2006923
gh,gh_emoji.json,8,173641,writing,1436164
fda,recall50.json,3,1049501,reading json,1321955888
fda,recall50.json,3,1049501,inodes,21899588
fda,recall50.json,3,1049501,saving,12456384
fda,recall50.json,3,1049501,writing,12192593
rv,animal.json,7,7051,reading json,13649274
rv,animal.json,7,7051,inodes,183484
rv,animal.json,7,7051,saving,180514
rv,animal.json,7,7051,writing,154952
penguin,rust.json,9,161726,reading json,205662372
penguin,rust.json,9,161726,inodes,748907
penguin,rust.json,9,161726,saving,798712
penguin,rust.json,9,161726,writing,688282
penn,historic-20181028.json,10,1468638,reading json,1870866478
penn,historic-20181028.json,10,1468638,inodes,34813611
penn,historic-20181028.json,10,1468638,saving,27032815
penn,historic-20181028.json,10,1468638,writing,18228324
fda,tobacco100.json,8,63634,reading json,82626169
fda,tobacco100.json,8,63634,inodes,1051263
fda,tobacco100.json,8,63634,saving,785301
fda,tobacco100.json,8,63634,writing,710768
fake,object.json,9,77,reading json,419803
fake,object.json,9,77,inodes,29699
fake,object.json,9,77,saving,27082
fake,object.json,9,77,writing,11043
gh,gh_events.json,4,54778,reading json,73803698
gh,gh_events.json,4,54778,inodes,848649
gh,gh_events.json,4,54778,saving,786024
gh,gh_events.json,4,54778,writing,723590
fda,tobacco_products.json,6,2345,reading json,2940580
fda,tobacco_products.json,6,2345,inodes,81556
fda,tobacco_products.json,6,2345,saving,66549
fda,tobacco_products.json,6,2345,writing,42976
fda,recall.json,9,22475,reading json,30991148
fda,recall.json,9,22475,inodes,577525
fda,recall.json,9,22475,saving,351325
fda,recall.json,9,22475,writing,301554
gh,gh_events.json,1,54778,reading json,71898827
gh,gh_events.json,1,54778,inodes,855672
gh,gh_events.json,1,54778,saving,730970
gh,gh_events.json,1,54778,writing,643297
gh,gh_mgree_events.json,9,168832,reading json,220550484
gh,gh_mgree_events.json,9,168832,inodes,2468419
gh,gh_mgree_events.json,9,168832,saving,2211888
gh,gh_mgree_events.json,9,168832,writing,1951167
fake,object_null.json,3,95,reading json,164817
fake,object_null.json,3,95,inodes,27025
fake,object_null.json,3,95,saving,23937
fake,object_null.json,3,95,writing,14528
ncdc,ncdc_datatypes.json,5,4013,reading json,7033577
ncdc,ncdc_datatypes.json,5,4013,inodes,151628
ncdc,ncdc_datatypes.json,5,4013,saving,85470
ncdc,ncdc_datatypes.json,5,4013,writing,80795
gh,gh_apache2.json,5,12591,reading json,17168102
gh,gh_apache2.json,5,12591,inodes,71478
gh,gh_apache2.json,5,12591,saving,45486
gh,gh_apache2.json,5,12591,writing,88712
fda,registrationlisting.json,1,3228,reading json,4544143
fda,registrationlisting.json,1,3228,inodes,118493
fda,registrationlisting.json,1,3228,saving,88038
fda,registrationlisting.json,1,3228,writing,57505
ncdc,ncdc_locationcategories.json,8,543,reading json,1310517
ncdc,ncdc_locationcategories.json,8,543,inodes,115540
ncdc,ncdc_locationcategories.json,8,543,saving,52097
