source,file,kind,direction,magnitude,run,size,activity,ns
micro,named_deep_8.json,named,deep,8,1,53,reading,115289
micro,named_deep_8.json,named,deep,8,1,53,loading,25959
micro,named_deep_8.json,named,deep,8,1,53,saving,31634
micro,named_deep_8.json,named,deep,8,1,53,writing,613848
micro,named_wide_16.json,named,wide,16,1,146,reading,246239
micro,named_wide_16.json,named,wide,16,1,146,loading,25307
micro,named_wide_16.json,named,wide,16,1,146,saving,44247
micro,named_wide_16.json,named,wide,16,1,146,writing,994472
micro,named_wide_8.json,named,wide,8,1,74,reading,148211
micro,named_wide_8.json,named,wide,8,1,74,loading,25142
micro,named_wide_8.json,named,wide,8,1,74,saving,25270
micro,named_wide_8.json,named,wide,8,1,74,writing,655802
micro,named_deep_64.json,named,deep,64,1,427,reading,674845
micro,named_deep_64.json,named,deep,64,1,427,loading,59484
micro,named_deep_64.json,named,deep,64,1,427,saving,141946
micro,named_deep_64.json,named,deep,64,1,427,writing,3158096
micro,named_deep_4.json,named,deep,4,1,29,reading,87821
micro,named_deep_4.json,named,deep,4,1,29,loading,25488
micro,named_deep_4.json,named,deep,4,1,29,saving,22464
micro,named_deep_4.json,named,deep,4,1,29,writing,406198
micro,named_deep_16.json,named,deep,16,1,101,reading,179895
micro,named_deep_16.json,named,deep,16,1,101,loading,29527
micro,named_deep_16.json,named,deep,16,1,101,saving,41530
micro,named_deep_16.json,named,deep,16,1,101,writing,943481
micro,named_wide_32.json,named,wide,32,1,296,reading,475343
micro,named_wide_32.json,named,wide,32,1,296,loading,35403
micro,named_wide_32.json,named,wide,32,1,296,saving,56996
micro,named_wide_32.json,named,wide,32,1,296,writing,1879904
micro,list_deep_8.json,list,deep,8,1,21,reading,53570
micro,list_deep_8.json,list,deep,8,1,21,loading,47106
micro,list_deep_8.json,list,deep,8,1,21,saving,17881
micro,list_deep_8.json,list,deep,8,1,21,writing,350246
micro,named_deep_2.json,named,deep,2,1,17,reading,119697
micro,named_deep_2.json,named,deep,2,1,17,loading,28716
micro,named_deep_2.json,named,deep,2,1,17,saving,26504
micro,named_deep_2.json,named,deep,2,1,17,writing,285607
micro,list_wide_16.json,list,wide,16,1,82,reading,131568
micro,list_wide_16.json,list,wide,16,1,82,loading,47960
micro,list_wide_16.json,list,wide,16,1,82,saving,22287
micro,list_wide_16.json,list,wide,16,1,82,writing,466318
micro,named_wide_128.json,named,wide,128,1,1256,reading,1686566
micro,named_wide_128.json,named,wide,128,1,1256,loading,56745
micro,named_wide_128.json,named,wide,128,1,1256,saving,142651
micro,named_wide_128.json,named,wide,128,1,1256,writing,4830105
micro,list_wide_64.json,list,wide,64,1,322,reading,416419
micro,list_wide_64.json,list,wide,64,1,322,loading,72716
micro,list_wide_64.json,list,wide,64,1,322,saving,44876
micro,list_wide_64.json,list,wide,64,1,322,writing,1231502
micro,list_wide_2.json,list,wide,2,1,12,reading,43836
