source,file,run,size,activity,ns
gh,gh_licenses.json,1,2507,reading,4756731
gh,gh_licenses.json,1,2507,loading,90969
gh,gh_licenses.json,1,2507,saving,92397
gh,gh_licenses.json,1,2507,writing,3439452
gh,gh_events.json,1,54778,reading,86802412
gh,gh_events.json,1,54778,loading,968594
gh,gh_events.json,1,54778,saving,709096
gh,gh_events.json,1,54778,writing,48779025
json.org,json_eg3.json,1,602,reading,1329089
json.org,json_eg3.json,1,602,loading,43664
json.org,json_eg3.json,1,602,saving,36970
json.org,json_eg3.json,1,602,writing,992639
synthetic,list2.json,1,25,reading,909360
synthetic,list2.json,1,25,loading,68594
synthetic,list2.json,1,25,saving,20209
synthetic,list2.json,1,25,writing,438095
penn,historic-20181028.json,1,1468638,reading,2112686305
penn,historic-20181028.json,1,1468638,loading,43091415
penn,historic-20181028.json,1,1468638,saving,28111326
penn,historic-20181028.json,1,1468638,writing,1753729157
fda,waterpipe.json,1,1955,reading,2879997
fda,waterpipe.json,1,1955,loading,84168
fda,waterpipe.json,1,1955,saving,46846
fda,waterpipe.json,1,1955,writing,1570303
fda,tobacco100.json,1,63634,reading,93001838
fda,tobacco100.json,1,63634,loading,1235534
fda,tobacco100.json,1,63634,saving,691776
fda,tobacco100.json,1,63634,writing,62262959
penguin,dekeijzer.json,1,446,reading,1559848
penguin,dekeijzer.json,1,446,loading,38312
penguin,dekeijzer.json,1,446,saving,28728
penguin,dekeijzer.json,1,446,writing,761622
ncdc,ncdc_ewr_station.json,1,191,reading,1183948
ncdc,ncdc_ewr_station.json,1,191,loading,37215
ncdc,ncdc_ewr_station.json,1,191,saving,24209
ncdc,ncdc_ewr_station.json,1,191,writing,496614
gh,gh_apache2.json,1,12591,reading,19898816
gh,gh_apache2.json,1,12591,loading,67766
gh,gh_apache2.json,1,12591,saving,45535
gh,gh_apache2.json,1,12591,writing,4651799
fda,recall100.json,1,2117776,reading,3042598032
fda,recall100.json,1,2117776,loading,60204079
fda,recall100.json,1,2117776,saving,26203122
fda,recall100.json,1,2117776,writing,2334859613
penguin,linux.json,1,64401,reading,94101084
penguin,linux.json,1,64401,loading,815883
penguin,linux.json,1,64401,saving,567179
penguin,linux.json,1,64401,writing,54275806
gov.uk,bank-holidays.json,1,15124,reading,26542317
gov.uk,bank-holidays.json,1,15124,loading,777081
gov.uk,bank-holidays.json,1,15124,saving,448455
gov.uk,bank-holidays.json,1,15124,writing,35643144
fda,recall.json,1,22475,reading,34219366
fda,recall.json,1,22475,loading,630647
fda,recall.json,1,22475,saving,299473
fda,recall.json,1,22475,writing,22035588
json.org,json_eg2.json,1,242,reading,602274
json.org,json_eg2.json,1,242,loading,60600
json.org,json_eg2.json,1,242,saving,29190
json.org,json_eg2.json,1,242,writing,739912
ncdc,ncdc_07030_stations.json,1,1476,reading,2307805
ncdc,ncdc_07030_stations.json,1,1476,loading,101051
ncdc,ncdc_07030_stations.json,1,1476,saving,87151
ncdc,ncdc_07030_stations.json,1,1476,writing,2872191
ncdc,ncdc_zips.json,1,2851,reading,5267275
ncdc,ncdc_zips.json,1,2851,loading,159818
ncdc,ncdc_zips.json,1,2851,saving,103347
ncdc,ncdc_zips.json,1,2851,writing,7219574
rv,animal.json,1,7051,reading,11824778
rv,animal.json,1,7051,loading,225834
rv,animal.json,1,7051,saving,152135
rv,animal.json,1,7051,writing,11140226
json.org,json_eg1.json,1,583,reading,1100477
json.org,json_eg1.json,1,583,loading,63616
json.org,json_eg1.json,1,583,saving,32175
json.org,json_eg1.json,1,583,writing,936669
gh,mgree.json,1,1331,reading,2100567
gh,mgree.json,1,1331,loading,47039
gh,mgree.json,1,1331,saving,49455
gh,mgree.json,1,1331,writing,1419751
synthetic,object_null.json,1,95,reading,983035
synthetic,object_null.json,1,95,loading,32155
synthetic,object_null.json,1,95,saving,20586
synthetic,object_null.json,1,95,writing,305246
gh,gh_mgree_events.json,1,168832,reading,275532529
gh,gh_mgree_events.json,1,168832,loading,1992652
gh,gh_mgree_events.json,1,168832,saving,3098900
gh,gh_mgree_events.json,1,168832,writing,195248107
gh,gh_gpl3.json,1,36979,reading,56442782
gh,gh_gpl3.json,1,36979,loading,70261
gh,gh_gpl3.json,1,36979,saving,64687
gh,gh_gpl3.json,1,36979,writing,9488543
ncdc,ncdc_07030.json,1,111,reading,477245
ncdc,ncdc_07030.json,1,111,loading,58723
ncdc,ncdc_07030.json,1,111,saving,23973
ncdc,ncdc_07030.json,1,111,writing,401189
gh,gh_emoji.json,1,173641,reading,250919699
gh,gh_emoji.json,1,173641,loading,1390594
gh,gh_emoji.json,1,173641,saving,1746930
gh,gh_emoji.json,1,173641,writing,92169271
fda,recall10.json,1,212061,reading,344150239
fda,recall10.json,1,212061,loading,5445647
fda,recall10.json,1,212061,saving,2504900
fda,recall10.json,1,212061,writing,215005273
ncdc,ncdc_locationcategories.json,1,543,reading,2142873
ncdc,ncdc_locationcategories.json,1,543,loading,96924
ncdc,ncdc_locationcategories.json,1,543,saving,49473
ncdc,ncdc_locationcategories.json,1,543,writing,1414060
fda,registrationlisting.json,1,3228,reading,5320395
fda,registrationlisting.json,1,3228,loading,110878
fda,registrationlisting.json,1,3228,saving,91720
fda,registrationlisting.json,1,3228,writing,3239285
gh,ffs_issues.json,1,38158,reading,59715631
gh,ffs_issues.json,1,38158,loading,789139
gh,ffs_issues.json,1,38158,saving,717549
gh,ffs_issues.json,1,38158,writing,35136405
fda,event.json,1,1819,reading,2891121
fda,event.json,1,1819,loading,84044
fda,event.json,1,1819,saving,68000
