source,file,kind,direction,magnitude,run,size,activity,ns
micro,list_wide_128.json,list,wide,128,1,642,reading,1718515
micro,list_wide_128.json,list,wide,128,1,642,loading,77333
micro,list_wide_128.json,list,wide,128,1,642,saving,47883
micro,list_wide_128.json,list,wide,128,1,642,writing,1604834
micro,list_wide_32.json,list,wide,32,1,162,reading,484337
micro,list_wide_32.json,list,wide,32,1,162,loading,65330
micro,list_wide_32.json,list,wide,32,1,162,saving,41235
micro,list_wide_32.json,list,wide,32,1,162,writing,549725
micro,named_wide_64.json,named,wide,64,1,616,reading,1153006
micro,named_wide_64.json,named,wide,64,1,616,loading,148303
micro,named_wide_64.json,named,wide,64,1,616,saving,59715
micro,named_wide_64.json,named,wide,64,1,616,writing,2546371
micro,list_wide_4.json,list,wide,4,1,22,reading,242106
micro,list_wide_4.json,list,wide,4,1,22,loading,46944
micro,list_wide_4.json,list,wide,4,1,22,saving,13062
micro,list_wide_4.json,list,wide,4,1,22,writing,179866
micro,named_wide_256.json,named,wide,256,1,2536,reading,4614723
micro,named_wide_256.json,named,wide,256,1,2536,loading,92342
micro,named_wide_256.json,named,wide,256,1,2536,saving,179514
micro,named_wide_256.json,named,wide,256,1,2536,writing,9419829
micro,list_wide_1.json,list,wide,1,1,7,reading,886489
micro,list_wide_1.json,list,wide,1,1,7,loading,34993
micro,list_wide_1.json,list,wide,1,1,7,saving,12737
micro,list_wide_1.json,list,wide,1,1,7,writing,143948
micro,list_deep_32.json,list,deep,32,1,69,reading,332617
micro,list_deep_32.json,list,deep,32,1,69,loading,66001
micro,list_deep_32.json,list,deep,32,1,69,saving,38501
micro,list_deep_32.json,list,deep,32,1,69,writing,571553
micro,list_deep_4.json,list,deep,4,1,13,reading,899341
micro,list_deep_4.json,list,deep,4,1,13,loading,43863
micro,list_deep_4.json,list,deep,4,1,13,saving,14096
micro,list_deep_4.json,list,deep,4,1,13,writing,188044
micro,list_deep_16.json,list,deep,16,1,37,reading,899142
micro,list_deep_16.json,list,deep,16,1,37,loading,56572
micro,list_deep_16.json,list,deep,16,1,37,saving,21729
micro,list_deep_16.json,list,deep,16,1,37,writing,316733
micro,named_deep_4.json,named,deep,4,1,29,reading,983518
