source,file,run,size,activity,ns
gh,gh_gpl3.json,1,36979,reading,61320405
gh,gh_gpl3.json,1,36979,loading,42017
gh,gh_gpl3.json,1,36979,saving,50079
gh,gh_gpl3.json,1,36979,writing,9986643
fda,tobacco.json,1,1144,reading,2088605
fda,tobacco.json,1,1144,loading,27363
fda,tobacco.json,1,1144,saving,30169
fda,tobacco.json,1,1144,writing,1017429
rv,animal.json,1,7051,reading,11893192
rv,animal.json,1,7051,loading,94506
rv,animal.json,1,7051,saving,95070
rv,animal.json,1,7051,writing,11651105
synthetic,object.json,1,77,reading,498118
synthetic,object.json,1,77,loading,56417
synthetic,object.json,1,77,saving,15150
synthetic,object.json,1,77,writing,285775
ncdc,ncdc_gsom_sample.json,1,2867,reading,5224701
ncdc,ncdc_gsom_sample.json,1,2867,loading,31954
ncdc,ncdc_gsom_sample.json,1,2867,saving,72310
ncdc,ncdc_gsom_sample.json,1,2867,writing,6735288
gh,gh_events.json,1,54778,reading,81599566
gh,gh_events.json,1,54778,loading,94033
gh,gh_events.json,1,54778,saving,509829
gh,gh_events.json,1,54778,writing,49834921
fda,recall.json,1,22475,reading,34207262
fda,recall.json,1,22475,loading,27327
fda,recall.json,1,22475,saving,116892
fda,recall.json,1,22475,writing,21859042
ncdc,ncdc_locations.json,1,2808,reading,4343915
ncdc,ncdc_locations.json,1,2808,loading,28674
ncdc,ncdc_locations.json,1,2808,saving,49982
ncdc,ncdc_locations.json,1,2808,writing,6366277
fda,event100.json,1,2945177,reading,4199500880
fda,event100.json,1,2945177,loading,34125
fda,event100.json,1,2945177,saving,12261806
fda,event100.json,1,2945177,writing,2269507967
json.org,json_eg2.json,1,242,reading,1234874
json.org,json_eg2.json,1,242,loading,28659
json.org,json_eg2.json,1,242,saving,21889
json.org,json_eg2.json,1,242,writing,644181
penguin,linux.json,1,64401,reading,97255962
penguin,linux.json,1,64401,loading,30181
penguin,linux.json,1,64401,saving,342227
penguin,linux.json,1,64401,writing,53590919
rv,human_male.json,1,603912,reading,878221976
rv,human_male.json,1,603912,loading,1388019
rv,human_male.json,1,603912,saving,5072941
rv,human_male.json,1,603912,writing,975501518
json.org,json_eg3.json,1,602,reading,1699623
json.org,json_eg3.json,1,602,loading,25646
json.org,json_eg3.json,1,602,saving,31718
json.org,json_eg3.json,1,602,writing,1050084
penguin,bsd.json,1,5415,reading,8517810
penguin,bsd.json,1,5415,loading,29907
penguin,bsd.json,1,5415,saving,60855
penguin,bsd.json,1,5415,writing,3802315
gh,gh_mgree_events.json,1,168832,reading,246415105
gh,gh_mgree_events.json,1,168832,loading,76633
gh,gh_mgree_events.json,1,168832,saving,872396
gh,gh_mgree_events.json,1,168832,writing,145354615
gov.uk,bank-holidays.json,1,15124,reading,26568923
gov.uk,bank-holidays.json,1,15124,loading,33502
gov.uk,bank-holidays.json,1,15124,saving,218824
gov.uk,bank-holidays.json,1,15124,writing,35390000
fda,recall100.json,1,2117776,reading,2991325478
fda,recall100.json,1,2117776,loading,30348
fda,recall100.json,1,2117776,saving,9703964
fda,recall100.json,1,2117776,writing,2287122804
penguin,grisham.json,1,22488,reading,36170224
penguin,grisham.json,1,22488,loading,37968
penguin,grisham.json,1,22488,saving,431785
penguin,grisham.json,1,22488,writing,51187093
fda,event.json,1,1819,reading,3444766
fda,event.json,1,1819,loading,25514
fda,event.json,1,1819,saving,35653
fda,event.json,1,1819,writing,1957068
doi,doi_smoosh.json,1,537,reading,1008266
doi,doi_smoosh.json,1,537,loading,28017
doi,doi_smoosh.json,1,537,saving,29145
doi,doi_smoosh.json,1,537,writing,1355392
penn,historic-20181028.json,1,1468638,reading,2119654255
penn,historic-20181028.json,1,1468638,loading,1102976
penn,historic-20181028.json,1,1468638,saving,11160951
penn,historic-20181028.json,1,1468638,writing,1741687725
gh,mgree_repos.json,1,159905,reading,237843079
gh,mgree_repos.json,1,159905,loading,58679
gh,mgree_repos.json,1,159905,saving,831754
gh,mgree_repos.json,1,159905,writing,131864580
penguin,dekeijzer.json,1,446,reading,1585016
penguin,dekeijzer.json,1,446,loading,26572
penguin,dekeijzer.json,1,446,saving,20864
penguin,dekeijzer.json,1,446,writing,815692
json.org,json_eg1.json,1,583,reading,1268749
json.org,json_eg1.json,1,583,loading,28686
json.org,json_eg1.json,1,583,saving,27859
json.org,json_eg1.json,1,583,writing,886649
fda,registrationlisting100.json,1,214459,reading,311507703
fda,registrationlisting100.json,1,214459,loading,29727
fda,registrationlisting100.json,1,214459,saving,1632892
fda,registrationlisting100.json,1,214459,writing,258404892
json.org,json_eg5.json,1,873,reading,2103928
json.org,json_eg5.json,1,873,loading,24857
json.org,json_eg5.json,1,873,saving,34889
json.org,json_eg5.json,1,873,writing,1825840
doi,doi_10.1000_1.json,1,369,reading,1475886
doi,doi_10.1000_1.json,1,369,loading,27217
doi,doi_10.1000_1.json,1,369,saving,31791
doi,doi_10.1000_1.json,1,369,writing,1070710
ncdc,ncdc_datatypes.json,1,4013,reading,6769564
ncdc,ncdc_datatypes.json,1,4013,loading,27457
ncdc,ncdc_datatypes.json,1,4013,saving,95418
ncdc,ncdc_datatypes.json,1,4013,writing,6251446
gh,gh_licenses.json,1,2507,reading,4433571
gh,gh_licenses.json,1,2507,loading,74754
gh,gh_licenses.json,1,2507,saving,64047
gh,gh_licenses.json,1,2507,writing,3211132
fda,tobacco10.json,1,6567,reading,10447774
fda,tobacco10.json,1,6567,loading,40774
fda,tobacco10.json,1,6567,saving,47676
fda,tobacco10.json,1,6567,writing,5293545
fda,recall50.json,1,1049501,reading,1493750444
fda,recall50.json,1,1049501,loading,30266
fda,recall50.json,1,1049501,saving,4365694
fda,recall50.json,1,1049501,writing,1123518242
json.org,json_eg4.json,1,3468,reading,6373498
json.org,json_eg4.json,1,3468,loading,28478
json.org,json_eg4.json,1,3468,saving,67567
json.org,json_eg4.json,1,3468,writing,3924030
ncdc,ncdc_locationcategories.json,1,543,reading,1838057
ncdc,ncdc_locationcategories.json,1,543,loading,29492
ncdc,ncdc_locationcategories.json,1,543,saving,33773
ncdc,ncdc_locationcategories.json,1,543,writing,1783274
gh,ffs.json,1,5089,reading,8609836
gh,ffs.json,1,5089,loading,61969
