source,file,kind,direction,magnitude,run,size,activity,ns
micro,list_deep_1.json,list,deep,1,1,7,reading,77411
micro,list_deep_1.json,list,deep,1,1,7,loading,48041
micro,list_deep_1.json,list,deep,1,1,7,saving,9725
micro,list_deep_1.json,list,deep,1,1,7,writing,208293
micro,list_wide_16.json,list,wide,16,1,82,reading,197327
micro,list_wide_16.json,list,wide,16,1,82,loading,50356
micro,list_wide_16.json,list,wide,16,1,82,saving,14955
micro,list_wide_16.json,list,wide,16,1,82,writing,513614
micro,list_wide_1.json,list,wide,1,1,7,reading,41303
micro,list_wide_1.json,list,wide,1,1,7,loading,47363
micro,list_wide_1.json,list,wide,1,1,7,saving,9518
micro,list_wide_1.json,list,wide,1,1,7,writing,163677
micro,named_deep_2.json,named,deep,2,1,17,reading,67763
micro,named_deep_2.json,named,deep,2,1,17,loading,26929
micro,named_deep_2.json,named,deep,2,1,17,saving,15303
micro,named_deep_2.json,named,deep,2,1,17,writing,227808
micro,named_wide_256.json,named,wide,256,1,2536,reading,3882963
micro,named_wide_256.json,named,wide,256,1,2536,loading,124616
micro,named_wide_256.json,named,wide,256,1,2536,saving,130790
micro,named_wide_256.json,named,wide,256,1,2536,writing,9152278
micro,list_deep_64.json,list,deep,64,1,133,reading,214251
micro,list_deep_64.json,list,deep,64,1,133,loading,45853
micro,list_deep_64.json,list,deep,64,1,133,saving,35144
micro,list_deep_64.json,list,deep,64,1,133,writing,887716
micro,named_wide_2.json,named,wide,2,1,20,reading,69966
micro,named_wide_2.json,named,wide,2,1,20,loading,28250
micro,named_wide_2.json,named,wide,2,1,20,saving,15993
micro,named_wide_2.json,named,wide,2,1,20,writing,237669
micro,list_deep_32.json,list,deep,32,1,69,reading,122918
micro,list_deep_32.json,list,deep,32,1,69,loading,45041
micro,list_deep_32.json,list,deep,32,1,69,saving,19007
micro,list_deep_32.json,list,deep,32,1,69,writing,504770
micro,named_deep_32.json,named,deep,32,1,203,reading,319594
micro,named_deep_32.json,named,deep,32,1,203,loading,30709
micro,named_deep_32.json,named,deep,32,1,203,saving,42750
micro,named_deep_32.json,named,deep,32,1,203,writing,22185864
micro,named_deep_16.json,named,deep,16,1,101,reading,206082
micro,named_deep_16.json,named,deep,16,1,101,loading,26184
micro,named_deep_16.json,named,deep,16,1,101,saving,23956
micro,named_deep_16.json,named,deep,16,1,101,writing,654740
micro,named_wide_128.json,named,wide,128,1,1256,reading,1907527
micro,named_wide_128.json,named,wide,128,1,1256,loading,94912
micro,named_wide_128.json,named,wide,128,1,1256,saving,81363
micro,named_wide_128.json,named,wide,128,1,1256,writing,4632730
micro,named_wide_8.json,named,wide,8,1,74,reading,158923
micro,named_wide_8.json,named,wide,8,1,74,loading,40437
micro,named_wide_8.json,named,wide,8,1,74,saving,19614
micro,named_wide_8.json,named,wide,8,1,74,writing,413197
micro,list_wide_128.json,list,wide,128,1,642,reading,958284
micro,list_wide_128.json,list,wide,128,1,642,loading,89919
micro,list_wide_128.json,list,wide,128,1,642,saving,48836
micro,list_wide_128.json,list,wide,128,1,642,writing,1603550
micro,named_wide_32.json,named,wide,32,1,296,reading,693077
micro,named_wide_32.json,named,wide,32,1,296,loading,42744
micro,named_wide_32.json,named,wide,32,1,296,saving,37735
micro,named_wide_32.json,named,wide,32,1,296,writing,1310647
micro,named_deep_8.json,named,deep,8,1,53,reading,122278
micro,named_deep_8.json,named,deep,8,1,53,loading,25771
micro,named_deep_8.json,named,deep,8,1,53,saving,22704
micro,named_deep_8.json,named,deep,8,1,53,writing,490909
micro,named_wide_4.json,named,wide,4,1,38,reading,110008
micro,named_wide_4.json,named,wide,4,1,38,loading,37948
micro,named_wide_4.json,named,wide,4,1,38,saving,12089
micro,named_wide_4.json,named,wide,4,1,38,writing,276642
micro,named_wide_16.json,named,wide,16,1,146,reading,250222
micro,named_wide_16.json,named,wide,16,1,146,loading,28701
micro,named_wide_16.json,named,wide,16,1,146,saving,23997
micro,named_wide_16.json,named,wide,16,1,146,writing,662904
micro,list_deep_4.json,list,deep,4,1,13,reading,46747
micro,list_deep_4.json,list,deep,4,1,13,loading,46082
micro,list_deep_4.json,list,deep,4,1,13,saving,18715
micro,list_deep_4.json,list,deep,4,1,13,writing,195556
micro,list_wide_256.json,list,wide,256,1,1282,reading,1953376
micro,list_wide_256.json,list,wide,256,1,1282,loading,140498
