source,file,run,size,activity,ns
gh,gh_apache2.json,1,12591,reading,17805783
gh,gh_apache2.json,1,12591,loading,75795
gh,gh_apache2.json,1,12591,saving,58631
gh,gh_apache2.json,1,12591,writing,3430512
fda,recall50.json,1,1049501,reading,1384879323
fda,recall50.json,1,1049501,loading,24134185
fda,recall50.json,1,1049501,saving,11250637
fda,recall50.json,1,1049501,writing,971019839
penguin,grisham.json,1,22488,reading,33069359
penguin,grisham.json,1,22488,loading,974405
penguin,grisham.json,1,22488,saving,754331
penguin,grisham.json,1,22488,writing,47025083
gh,mgree.json,1,1331,reading,2881229
gh,mgree.json,1,1331,loading,59184
gh,mgree.json,1,1331,saving,47453
gh,mgree.json,1,1331,writing,1569781
ncdc,ncdc_zips.json,1,2851,reading,5049872
ncdc,ncdc_zips.json,1,2851,loading,450005
ncdc,ncdc_zips.json,1,2851,saving,105554
ncdc,ncdc_zips.json,1,2851,writing,33072052
penn,historic-20181028.json,1,1468638,reading,1925787226
penn,historic-20181028.json,1,1468638,loading,33896745
penn,historic-20181028.json,1,1468638,saving,26127247
penn,historic-20181028.json,1,1468638,writing,1656818456
penguin,rust.json,1,161726,reading,214857220
penguin,rust.json,1,161726,loading,814968
penguin,rust.json,1,161726,saving,737767
penguin,rust.json,1,161726,writing,38340469
fda,tobacco_products.json,1,2345,reading,4163821
fda,tobacco_products.json,1,2345,loading,104451
fda,tobacco_products.json,1,2345,saving,56969
fda,tobacco_products.json,1,2345,writing,1961702
rv,human_male.json,1,603912,reading,807433071
rv,human_male.json,1,603912,loading,13067863
rv,human_male.json,1,603912,saving,10112357
rv,human_male.json,1,603912,writing,881259200
synthetic,list2.json,1,25,reading,319280
synthetic,list2.json,1,25,loading,62520
synthetic,list2.json,1,25,saving,17664
synthetic,list2.json,1,25,writing,247090
synthetic,object_null.json,1,95,reading,1152589
synthetic,object_null.json,1,95,loading,57959
synthetic,object_null.json,1,95,saving,15638
synthetic,object_null.json,1,95,writing,375589
gh,gh_gpl3.json,1,36979,reading,52310025
gh,gh_gpl3.json,1,36979,loading,83219
gh,gh_gpl3.json,1,36979,saving,71169
gh,gh_gpl3.json,1,36979,writing,8818932
fda,tobacco100.json,1,63634,reading,86204558
fda,tobacco100.json,1,63634,loading,990545
fda,tobacco100.json,1,63634,saving,767025
fda,tobacco100.json,1,63634,writing,44291930
gh,gh_licenses.json,1,2507,reading,4442728
gh,gh_licenses.json,1,2507,loading,105864
gh,gh_licenses.json,1,2507,saving,65964
gh,gh_licenses.json,1,2507,writing,3576284
gh,kmt.json,1,4979,reading,7689645
gh,kmt.json,1,4979,loading,81359
gh,kmt.json,1,4979,saving,94659
gh,kmt.json,1,4979,writing,4893683
ncdc,ncdc_locations.json,1,2808,reading,4797017
ncdc,ncdc_locations.json,1,2808,loading,168556
ncdc,ncdc_locations.json,1,2808,saving,94383
ncdc,ncdc_locations.json,1,2808,writing,6145930
penguin,dekeijzer.json,1,446,reading,1834295
penguin,dekeijzer.json,1,446,loading,49955
penguin,dekeijzer.json,1,446,saving,23583
penguin,dekeijzer.json,1,446,writing,859336
json.org,json_eg5.json,1,873,reading,2159139
json.org,json_eg5.json,1,873,loading,81088
json.org,json_eg5.json,1,873,saving,55790
json.org,json_eg5.json,1,873,writing,2031703
fda,registrationlisting.json,1,3228,reading,5602285
fda,registrationlisting.json,1,3228,loading,119549
fda,registrationlisting.json,1,3228,saving,86407
fda,registrationlisting.json,1,3228,writing,3675869
fda,event.json,1,1819,reading,3418391
fda,event.json,1,1819,loading,92264
fda,event.json,1,1819,saving,65110
fda,event.json,1,1819,writing,1868627
synthetic,object.json,1,77,reading,417991
synthetic,object.json,1,77,loading,34608
synthetic,object.json,1,77,saving,15319
synthetic,object.json,1,77,writing,308213
gh,ffs.json,1,5089,reading,8102003
gh,ffs.json,1,5089,loading,141769
gh,ffs.json,1,5089,saving,101553
gh,ffs.json,1,5089,writing,4531687
ncdc,ncdc_gsom_sample.json,1,2867,reading,4786286
ncdc,ncdc_gsom_sample.json,1,2867,loading,160361
ncdc,ncdc_gsom_sample.json,1,2867,saving,90851
ncdc,ncdc_gsom_sample.json,1,2867,writing,6004405
ncdc,ncdc_datacategories.json,1,1075,reading,1655910
ncdc,ncdc_datacategories.json,1,1075,loading,104713
ncdc,ncdc_datacategories.json,1,1075,saving,69011
ncdc,ncdc_datacategories.json,1,1075,writing,2890610
fda,waterpipe.json,1,1955,reading,3656058
fda,waterpipe.json,1,1955,loading,87410
fda,waterpipe.json,1,1955,saving,46632
fda,waterpipe.json,1,1955,writing,1434310
doi,doi_10.1000_1.json,1,369,reading,997748
doi,doi_10.1000_1.json,1,369,loading,93578
doi,doi_10.1000_1.json,1,369,saving,46340
doi,doi_10.1000_1.json,1,369,writing,963936
doi,doi_smoosh.json,1,537,reading,1754423
doi,doi_smoosh.json,1,537,loading,84883
doi,doi_smoosh.json,1,537,saving,40540
doi,doi_smoosh.json,1,537,writing,1174505
fda,tobacco10.json,1,6567,reading,9790105
fda,tobacco10.json,1,6567,loading,184753
fda,tobacco10.json,1,6567,saving,96602
fda,tobacco10.json,1,6567,writing,4418442
rv,demons.json,1,194,reading,1446088
rv,demons.json,1,194,loading,68605
rv,demons.json,1,194,saving,32892
rv,demons.json,1,194,writing,450317
gh,gh_events.json,1,54778,reading,76097453
gh,gh_events.json,1,54778,loading,925907
gh,gh_events.json,1,54778,saving,777662
gh,gh_events.json,1,54778,writing,45967225
synthetic,obj_rename.json,1,69,reading,1003075
synthetic,obj_rename.json,1,69,loading,32298
synthetic,obj_rename.json,1,69,saving,13010
synthetic,obj_rename.json,1,69,writing,386267
json.org,json_eg3.json,1,602,reading,1885020
json.org,json_eg3.json,1,602,loading,53049
json.org,json_eg3.json,1,602,saving,31460
json.org,json_eg3.json,1,602,writing,1084566
fda,event100.json,1,2945177,reading,3883855027
fda,event100.json,1,2945177,loading,48401493
fda,event100.json,1,2945177,saving,25642529
fda,event100.json,1,2945177,writing,1952762125
ncdc,ncdc_ewr_station.json,1,191,reading,671842
ncdc,ncdc_ewr_station.json,1,191,loading,50790
