source,file,kind,direction,magnitude,run,size,activity,ns
micro,named_wide_64.json,named,wide,64,1,616,reading,1129363
micro,named_wide_64.json,named,wide,64,1,616,loading,57857
micro,named_wide_64.json,named,wide,64,1,616,saving,74804
micro,named_wide_64.json,named,wide,64,1,616,writing,2968225
micro,list_wide_32.json,list,wide,32,1,162,reading,448875
micro,list_wide_32.json,list,wide,32,1,162,loading,58219
micro,list_wide_32.json,list,wide,32,1,162,saving,33656
micro,list_wide_32.json,list,wide,32,1,162,writing,551603
micro,named_wide_1.json,named,wide,1,1,11,reading,925028
micro,named_wide_1.json,named,wide,1,1,11,loading,25908
micro,named_wide_1.json,named,wide,1,1,11,saving,13965
micro,named_wide_1.json,named,wide,1,1,11,writing,210758
micro,list_deep_16.json,list,deep,16,1,37,reading,316039
micro,list_deep_16.json,list,deep,16,1,37,loading,59543
micro,list_deep_16.json,list,deep,16,1,37,saving,19541
micro,list_deep_16.json,list,deep,16,1,37,writing,321633
micro,named_deep_16.json,named,deep,16,1,101,reading,1086161
micro,named_deep_16.json,named,deep,16,1,101,loading,37863
micro,named_deep_16.json,named,deep,16,1,101,saving,36584
micro,named_deep_16.json,named,deep,16,1,101,writing,782050
micro,list_wide_2.json,list,wide,2,1,12,reading,302658
micro,list_wide_2.json,list,wide,2,1,12,loading,61169
micro,list_wide_2.json,list,wide,2,1,12,saving,14424
micro,list_wide_2.json,list,wide,2,1,12,writing,183460
micro,named_deep_32.json,named,deep,32,1,203,reading,574594
micro,named_deep_32.json,named,deep,32,1,203,loading,44827
micro,named_deep_32.json,named,deep,32,1,203,saving,59157
micro,named_deep_32.json,named,deep,32,1,203,writing,1358468
micro,named_wide_16.json,named,wide,16,1,146,reading,496458
micro,named_wide_16.json,named,wide,16,1,146,loading,30150
micro,named_wide_16.json,named,wide,16,1,146,saving,24711
micro,named_wide_16.json,named,wide,16,1,146,writing,659120
micro,list_deep_32.json,list,deep,32,1,69,reading,368388
micro,list_deep_32.json,list,deep,32,1,69,loading,67585
micro,list_deep_32.json,list,deep,32,1,69,saving,50379
micro,list_deep_32.json,list,deep,32,1,69,writing,680962
micro,named_deep_4.json,named,deep,4,1,29,reading,321617
micro,named_deep_4.json,named,deep,4,1,29,loading,32306
micro,named_deep_4.json,named,deep,4,1,29,saving,15606
micro,named_deep_4.json,named,deep,4,1,29,writing,286864
micro,named_wide_4.json,named,wide,4,1,38,reading,1165166
micro,named_wide_4.json,named,wide,4,1,38,loading,34337
micro,named_wide_4.json,named,wide,4,1,38,saving,26610
micro,named_wide_4.json,named,wide,4,1,38,writing,285217
micro,list_deep_4.json,list,deep,4,1,13,reading,880609
micro,list_deep_4.json,list,deep,4,1,13,loading,53834
micro,list_deep_4.json,list,deep,4,1,13,saving,13354
micro,list_deep_4.json,list,deep,4,1,13,writing,214627
micro,named_deep_1.json,named,deep,1,1,11,reading,965482
micro,named_deep_1.json,named,deep,1,1,11,loading,26854
micro,named_deep_1.json,named,deep,1,1,11,saving,9804
micro,named_deep_1.json,named,deep,1,1,11,writing,207077
micro,named_deep_64.json,named,deep,64,1,427,reading,910604
micro,named_deep_64.json,named,deep,64,1,427,loading,67746
micro,named_deep_64.json,named,deep,64,1,427,saving,95614
micro,named_deep_64.json,named,deep,64,1,427,writing,2460278
micro,list_deep_64.json,list,deep,64,1,133,reading,390826
micro,list_deep_64.json,list,deep,64,1,133,loading,91568
micro,list_deep_64.json,list,deep,64,1,133,saving,49848
micro,list_deep_64.json,list,deep,64,1,133,writing,818931
micro,named_deep_8.json,named,deep,8,1,53,reading,1073839
micro,named_deep_8.json,named,deep,8,1,53,loading,33325
micro,named_deep_8.json,named,deep,8,1,53,saving,26150
micro,named_deep_8.json,named,deep,8,1,53,writing,476228
micro,named_wide_256.json,named,wide,256,1,2536,reading,4387945
micro,named_wide_256.json,named,wide,256,1,2536,loading,154261
micro,named_wide_256.json,named,wide,256,1,2536,saving,159723
micro,named_wide_256.json,named,wide,256,1,2536,writing,60043476
micro,list_deep_8.json,list,deep,8,1,21,reading,878964
micro,list_deep_8.json,list,deep,8,1,21,loading,47371
micro,list_deep_8.json,list,deep,8,1,21,saving,28446
micro,list_deep_8.json,list,deep,8,1,21,writing,305722
micro,named_wide_8.json,named,wide,8,1,74,reading,376423
micro,named_wide_8.json,named,wide,8,1,74,loading,42453
micro,named_wide_8.json,named,wide,8,1,74,saving,12913
micro,named_wide_8.json,named,wide,8,1,74,writing,432439
micro,named_deep_2.json,named,deep,2,1,17,reading,931023
micro,named_deep_2.json,named,deep,2,1,17,loading,29501
micro,named_deep_2.json,named,deep,2,1,17,saving,14973
micro,named_deep_2.json,named,deep,2,1,17,writing,266836
micro,named_wide_32.json,named,wide,32,1,296,reading,715469
micro,named_wide_32.json,named,wide,32,1,296,loading,37014
micro,named_wide_32.json,named,wide,32,1,296,saving,30971
micro,named_wide_32.json,named,wide,32,1,296,writing,1133514
micro,list_deep_1.json,list,deep,1,1,7,reading,647702
micro,list_deep_1.json,list,deep,1,1,7,loading,61995
micro,list_deep_1.json,list,deep,1,1,7,saving,13147
micro,list_deep_1.json,list,deep,1,1,7,writing,176505
micro,list_wide_64.json,list,wide,64,1,322,reading,1372224
micro,list_wide_64.json,list,wide,64,1,322,loading,77368
micro,list_wide_64.json,list,wide,64,1,322,saving,31752
micro,list_wide_64.json,list,wide,64,1,322,writing,900443
micro,named_wide_2.json,named,wide,2,1,20,reading,929200
micro,named_wide_2.json,named,wide,2,1,20,loading,25039
micro,named_wide_2.json,named,wide,2,1,20,saving,9839
micro,named_wide_2.json,named,wide,2,1,20,writing,189918
micro,list_wide_1.json,list,wide,1,1,7,reading,225812
micro,list_wide_1.json,list,wide,1,1,7,loading,46787
micro,list_wide_1.json,list,wide,1,1,7,saving,11493
micro,list_wide_1.json,list,wide,1,1,7,writing,179428
micro,named_wide_128.json,named,wide,128,1,1256,reading,2574793
micro,named_wide_128.json,named,wide,128,1,1256,loading,85970
micro,named_wide_128.json,named,wide,128,1,1256,saving,100521
micro,named_wide_128.json,named,wide,128,1,1256,writing,4253614
micro,list_wide_4.json,list,wide,4,1,22,reading,988599
micro,list_wide_4.json,list,wide,4,1,22,loading,55160
micro,list_wide_4.json,list,wide,4,1,22,saving,13447
micro,list_wide_4.json,list,wide,4,1,22,writing,189799
micro,list_wide_256.json,list,wide,256,1,1282,reading,2667599
micro,list_wide_256.json,list,wide,256,1,1282,loading,170358
micro,list_wide_256.json,list,wide,256,1,1282,saving,92343
micro,list_wide_256.json,list,wide,256,1,1282,writing,3225167
micro,list_wide_16.json,list,wide,16,1,82,reading,1062047
micro,list_wide_16.json,list,wide,16,1,82,loading,57051
micro,list_wide_16.json,list,wide,16,1,82,saving,18470
micro,list_wide_16.json,list,wide,16,1,82,writing,315065
micro,list_deep_2.json,list,deep,2,1,9,reading,228039
micro,list_deep_2.json,list,deep,2,1,9,loading,56224
micro,list_deep_2.json,list,deep,2,1,9,saving,13728
micro,list_deep_2.json,list,deep,2,1,9,writing,193834
micro,list_wide_8.json,list,wide,8,1,42,reading,270295
micro,list_wide_8.json,list,wide,8,1,42,loading,63257
micro,list_wide_8.json,list,wide,8,1,42,saving,23194
micro,list_wide_8.json,list,wide,8,1,42,writing,247744
micro,list_wide_128.json,list,wide,128,1,642,reading,1137261
micro,list_wide_128.json,list,wide,128,1,642,loading,87886
micro,list_wide_128.json,list,wide,128,1,642,saving,56429
micro,list_wide_128.json,list,wide,128,1,642,writing,2004299
micro,named_wide_256.json,named,wide,256,2,2536,reading,3773931
micro,named_wide_256.json,named,wide,256,2,2536,loading,129226
micro,named_wide_256.json,named,wide,256,2,2536,saving,157722
micro,named_wide_256.json,named,wide,256,2,2536,writing,8574534
micro,list_deep_64.json,list,deep,64,2,133,reading,1120519
micro,list_deep_64.json,list,deep,64,2,133,loading,98889
micro,list_deep_64.json,list,deep,64,2,133,saving,65118
micro,list_deep_64.json,list,deep,64,2,133,writing,1086409
micro,named_wide_8.json,named,wide,8,2,74,reading,518662
micro,named_wide_8.json,named,wide,8,2,74,loading,60487
micro,named_wide_8.json,named,wide,8,2,74,saving,15375
micro,named_wide_8.json,named,wide,8,2,74,writing,448976
micro,list_wide_128.json,list,wide,128,2,642,reading,857964
micro,list_wide_128.json,list,wide,128,2,642,loading,86250
micro,list_wide_128.json,list,wide,128,2,642,saving,55549
micro,list_wide_128.json,list,wide,128,2,642,writing,1473107
micro,named_wide_32.json,named,wide,32,2,296,reading,738986
micro,named_wide_32.json,named,wide,32,2,296,loading,43096
micro,named_wide_32.json,named,wide,32,2,296,saving,68939
micro,named_wide_32.json,named,wide,32,2,296,writing,1289425
micro,list_deep_1.json,list,deep,1,2,7,reading,647649
micro,list_deep_1.json,list,deep,1,2,7,loading,50390
micro,list_deep_1.json,list,deep,1,2,7,saving,13315
micro,list_deep_1.json,list,deep,1,2,7,writing,173783
micro,list_deep_32.json,list,deep,32,2,69,reading,986364
micro,list_deep_32.json,list,deep,32,2,69,loading,75051
micro,list_deep_32.json,list,deep,32,2,69,saving,33509
micro,list_deep_32.json,list,deep,32,2,69,writing,494999
micro,list_wide_1.json,list,wide,1,2,7,reading,296006
micro,list_wide_1.json,list,wide,1,2,7,loading,50124
micro,list_wide_1.json,list,wide,1,2,7,saving,12980
micro,list_wide_1.json,list,wide,1,2,7,writing,201496
micro,named_wide_16.json,named,wide,16,2,146,reading,1273704
micro,named_wide_16.json,named,wide,16,2,146,loading,33046
micro,named_wide_16.json,named,wide,16,2,146,saving,25011
micro,named_wide_16.json,named,wide,16,2,146,writing,812258
micro,named_deep_64.json,named,deep,64,2,427,reading,960570
micro,named_deep_64.json,named,deep,64,2,427,loading,73954
micro,named_deep_64.json,named,deep,64,2,427,saving,99270
micro,named_deep_64.json,named,deep,64,2,427,writing,2310324
micro,named_deep_2.json,named,deep,2,2,17,reading,318279
micro,named_deep_2.json,named,deep,2,2,17,loading,32720
micro,named_deep_2.json,named,deep,2,2,17,saving,23127
micro,named_deep_2.json,named,deep,2,2,17,writing,225599
micro,named_wide_4.json,named,wide,4,2,38,reading,338362
micro,named_wide_4.json,named,wide,4,2,38,loading,29419
micro,named_wide_4.json,named,wide,4,2,38,saving,11520
micro,named_wide_4.json,named,wide,4,2,38,writing,287788
micro,named_wide_2.json,named,wide,2,2,20,reading,291791
micro,named_wide_2.json,named,wide,2,2,20,loading,26695
micro,named_wide_2.json,named,wide,2,2,20,saving,11757
micro,named_wide_2.json,named,wide,2,2,20,writing,248797
micro,named_wide_64.json,named,wide,64,2,616,reading,1726222
micro,named_wide_64.json,named,wide,64,2,616,loading,64331
micro,named_wide_64.json,named,wide,64,2,616,saving,61629
micro,named_wide_64.json,named,wide,64,2,616,writing,2397338
micro,list_wide_2.json,list,wide,2,2,12,reading,978317
micro,list_wide_2.json,list,wide,2,2,12,loading,54003
micro,list_wide_2.json,list,wide,2,2,12,saving,14552
micro,list_wide_2.json,list,wide,2,2,12,writing,202636
micro,list_wide_256.json,list,wide,256,2,1282,reading,2619957
micro,list_wide_256.json,list,wide,256,2,1282,loading,120761
micro,list_wide_256.json,list,wide,256,2,1282,saving,82963
micro,list_wide_256.json,list,wide,256,2,1282,writing,3191309
micro,list_deep_8.json,list,deep,8,2,21,reading,936910
micro,list_deep_8.json,list,deep,8,2,21,loading,66322
micro,list_deep_8.json,list,deep,8,2,21,saving,15504
micro,list_deep_8.json,list,deep,8,2,21,writing,273084
micro,named_deep_1.json,named,deep,1,2,11,reading,965353
micro,named_deep_1.json,named,deep,1,2,11,loading,33779
micro,named_deep_1.json,named,deep,1,2,11,saving,12434
micro,named_deep_1.json,named,deep,1,2,11,writing,198228
micro,named_wide_128.json,named,wide,128,2,1256,reading,2858304
micro,named_wide_128.json,named,wide,128,2,1256,loading,100728
micro,named_wide_128.json,named,wide,128,2,1256,saving,85572
micro,named_wide_128.json,named,wide,128,2,1256,writing,4181110
micro,list_wide_64.json,list,wide,64,2,322,reading,1349231
micro,list_wide_64.json,list,wide,64,2,322,loading,72420
micro,list_wide_64.json,list,wide,64,2,322,saving,33503
micro,list_wide_64.json,list,wide,64,2,322,writing,803326
micro,list_wide_32.json,list,wide,32,2,162,reading,465065
micro,list_wide_32.json,list,wide,32,2,162,loading,64547
micro,list_wide_32.json,list,wide,32,2,162,saving,30505
micro,list_wide_32.json,list,wide,32,2,162,writing,568353
micro,named_wide_1.json,named,wide,1,2,11,reading,955136
micro,named_wide_1.json,named,wide,1,2,11,loading,28872
micro,named_wide_1.json,named,wide,1,2,11,saving,12587
micro,named_wide_1.json,named,wide,1,2,11,writing,183655
micro,list_wide_8.json,list,wide,8,2,42,reading,79537
micro,list_wide_8.json,list,wide,8,2,42,loading,50068
micro,list_wide_8.json,list,wide,8,2,42,saving,19457
micro,list_wide_8.json,list,wide,8,2,42,writing,341867
micro,list_wide_4.json,list,wide,4,2,22,reading,913140
micro,list_wide_4.json,list,wide,4,2,22,loading,54371
micro,list_wide_4.json,list,wide,4,2,22,saving,14215
micro,list_wide_4.json,list,wide,4,2,22,writing,207644
micro,list_deep_16.json,list,deep,16,2,37,reading,951371
micro,list_deep_16.json,list,deep,16,2,37,loading,62746
micro,list_deep_16.json,list,deep,16,2,37,saving,26396
micro,list_deep_16.json,list,deep,16,2,37,writing,321185
micro,named_deep_8.json,named,deep,8,2,53,reading,1046601
micro,named_deep_8.json,named,deep,8,2,53,loading,39788
micro,named_deep_8.json,named,deep,8,2,53,saving,23719
micro,named_deep_8.json,named,deep,8,2,53,writing,469401
micro,list_deep_4.json,list,deep,4,2,13,reading,920421
micro,list_deep_4.json,list,deep,4,2,13,loading,53308
micro,list_deep_4.json,list,deep,4,2,13,saving,13775
micro,list_deep_4.json,list,deep,4,2,13,writing,196862
micro,named_deep_32.json,named,deep,32,2,203,reading,1199907
micro,named_deep_32.json,named,deep,32,2,203,loading,54666
micro,named_deep_32.json,named,deep,32,2,203,saving,56590
micro,named_deep_32.json,named,deep,32,2,203,writing,1210275
micro,list_deep_2.json,list,deep,2,2,9,reading,37358
micro,list_deep_2.json,list,deep,2,2,9,loading,48443
micro,list_deep_2.json,list,deep,2,2,9,saving,12100
micro,list_deep_2.json,list,deep,2,2,9,writing,191404
micro,named_deep_4.json,named,deep,4,2,29,reading,1000355
micro,named_deep_4.json,named,deep,4,2,29,loading,30799
micro,named_deep_4.json,named,deep,4,2,29,saving,13249
micro,named_deep_4.json,named,deep,4,2,29,writing,314040
micro,named_deep_16.json,named,deep,16,2,101,reading,415414
micro,named_deep_16.json,named,deep,16,2,101,loading,42965
micro,named_deep_16.json,named,deep,16,2,101,saving,33970
micro,named_deep_16.json,named,deep,16,2,101,writing,769351
micro,list_wide_16.json,list,wide,16,2,82,reading,983030
micro,list_wide_16.json,list,wide,16,2,82,loading,58714
micro,list_wide_16.json,list,wide,16,2,82,saving,16697
micro,list_wide_16.json,list,wide,16,2,82,writing,363696
micro,named_wide_4.json,named,wide,4,3,38,reading,98157
micro,named_wide_4.json,named,wide,4,3,38,loading,28387
micro,named_wide_4.json,named,wide,4,3,38,saving,11814
micro,named_wide_4.json,named,wide,4,3,38,writing,300368
micro,list_wide_256.json,list,wide,256,3,1282,reading,1694287
micro,list_wide_256.json,list,wide,256,3,1282,loading,169345
micro,list_wide_256.json,list,wide,256,3,1282,saving,73797
micro,list_wide_256.json,list,wide,256,3,1282,writing,2833508
micro,named_wide_2.json,named,wide,2,3,20,reading,70952
micro,named_wide_2.json,named,wide,2,3,20,loading,27199
micro,named_wide_2.json,named,wide,2,3,20,saving,11645
micro,named_wide_2.json,named,wide,2,3,20,writing,247850
micro,list_deep_1.json,list,deep,1,3,7,reading,35862
micro,list_deep_1.json,list,deep,1,3,7,loading,47636
micro,list_deep_1.json,list,deep,1,3,7,saving,12954
micro,list_deep_1.json,list,deep,1,3,7,writing,178565
micro,list_deep_64.json,list,deep,64,3,133,reading,207513
micro,list_deep_64.json,list,deep,64,3,133,loading,76696
micro,list_deep_64.json,list,deep,64,3,133,saving,52898
micro,list_deep_64.json,list,deep,64,3,133,writing,850518
micro,list_wide_4.json,list,wide,4,3,22,reading,53923
micro,list_wide_4.json,list,wide,4,3,22,loading,55989
micro,list_wide_4.json,list,wide,4,3,22,saving,16437
micro,list_wide_4.json,list,wide,4,3,22,writing,263098
micro,named_wide_1.json,named,wide,1,3,11,reading,54707
micro,named_wide_1.json,named,wide,1,3,11,loading,24519
micro,named_wide_1.json,named,wide,1,3,11,saving,9456
micro,named_wide_1.json,named,wide,1,3,11,writing,235307
micro,named_deep_2.json,named,deep,2,3,17,reading,69861
micro,named_deep_2.json,named,deep,2,3,17,loading,27859
micro,named_deep_2.json,named,deep,2,3,17,saving,11006
micro,named_deep_2.json,named,deep,2,3,17,writing,209784
micro,named_wide_128.json,named,wide,128,3,1256,reading,2124595
micro,named_wide_128.json,named,wide,128,3,1256,loading,94870
micro,named_wide_128.json,named,wide,128,3,1256,saving,84217
micro,named_wide_128.json,named,wide,128,3,1256,writing,4328945
micro,list_deep_16.json,list,deep,16,3,37,reading,341626
micro,list_deep_16.json,list,deep,16,3,37,loading,113667
micro,list_deep_16.json,list,deep,16,3,37,saving,28397
micro,list_deep_16.json,list,deep,16,3,37,writing,370973
micro,list_deep_8.json,list,deep,8,3,21,reading,1009046
micro,list_deep_8.json,list,deep,8,3,21,loading,52954
micro,list_deep_8.json,list,deep,8,3,21,saving,14556
micro,list_deep_8.json,list,deep,8,3,21,writing,232941
micro,list_wide_1.json,list,wide,1,3,7,reading,882581
micro,list_wide_1.json,list,wide,1,3,7,loading,49141
micro,list_wide_1.json,list,wide,1,3,7,saving,10969
micro,list_wide_1.json,list,wide,1,3,7,writing,178508
micro,named_deep_64.json,named,deep,64,3,427,reading,1883774
micro,named_deep_64.json,named,deep,64,3,427,loading,67950
micro,named_deep_64.json,named,deep,64,3,427,saving,94456
micro,named_deep_64.json,named,deep,64,3,427,writing,2214398
micro,list_wide_16.json,list,wide,16,3,82,reading,974585
micro,list_wide_16.json,list,wide,16,3,82,loading,66926
micro,list_wide_16.json,list,wide,16,3,82,saving,17199
micro,list_wide_16.json,list,wide,16,3,82,writing,331085
micro,named_deep_4.json,named,deep,4,3,29,reading,1011377
micro,named_deep_4.json,named,deep,4,3,29,loading,84150
micro,named_deep_4.json,named,deep,4,3,29,saving,20325
micro,named_deep_4.json,named,deep,4,3,29,writing,269911
micro,named_wide_64.json,named,wide,64,3,616,reading,1009873
micro,named_wide_64.json,named,wide,64,3,616,loading,55698
micro,named_wide_64.json,named,wide,64,3,616,saving,52988
micro,named_wide_64.json,named,wide,64,3,616,writing,2155264
micro,list_deep_32.json,list,deep,32,3,69,reading,1103445
micro,list_deep_32.json,list,deep,32,3,69,loading,75962
micro,list_deep_32.json,list,deep,32,3,69,saving,37585
micro,list_deep_32.json,list,deep,32,3,69,writing,498213
micro,list_wide_64.json,list,wide,64,3,322,reading,646228
micro,list_wide_64.json,list,wide,64,3,322,loading,91804
micro,list_wide_64.json,list,wide,64,3,322,saving,33712
micro,list_wide_64.json,list,wide,64,3,322,writing,965798
micro,named_deep_1.json,named,deep,1,3,11,reading,852092
micro,named_deep_1.json,named,deep,1,3,11,loading,26940
micro,named_deep_1.json,named,deep,1,3,11,saving,10019
micro,named_deep_1.json,named,deep,1,3,11,writing,189053
micro,named_wide_16.json,named,wide,16,3,146,reading,1099348
micro,named_wide_16.json,named,wide,16,3,146,loading,41986
micro,named_wide_16.json,named,wide,16,3,146,saving,26225
micro,named_wide_16.json,named,wide,16,3,146,writing,702882
micro,named_wide_32.json,named,wide,32,3,296,reading,1299159
micro,named_wide_32.json,named,wide,32,3,296,loading,53727
micro,named_wide_32.json,named,wide,32,3,296,saving,41950
micro,named_wide_32.json,named,wide,32,3,296,writing,1175907
micro,list_wide_2.json,list,wide,2,3,12,reading,903668
micro,list_wide_2.json,list,wide,2,3,12,loading,51371
micro,list_wide_2.json,list,wide,2,3,12,saving,17465
micro,list_wide_2.json,list,wide,2,3,12,writing,173022
micro,list_wide_8.json,list,wide,8,3,42,reading,79142
micro,list_wide_8.json,list,wide,8,3,42,loading,50751
micro,list_wide_8.json,list,wide,8,3,42,saving,13851
micro,list_wide_8.json,list,wide,8,3,42,writing,313168
micro,named_wide_8.json,named,wide,8,3,74,reading,1044159
micro,named_wide_8.json,named,wide,8,3,74,loading,32367
micro,named_wide_8.json,named,wide,8,3,74,saving,16732
micro,named_wide_8.json,named,wide,8,3,74,writing,449467
micro,named_deep_8.json,named,deep,8,3,53,reading,994323
micro,named_deep_8.json,named,deep,8,3,53,loading,34161
micro,named_deep_8.json,named,deep,8,3,53,saving,24107
micro,named_deep_8.json,named,deep,8,3,53,writing,427460
micro,list_deep_2.json,list,deep,2,3,9,reading,40024
micro,list_deep_2.json,list,deep,2,3,9,loading,48826
micro,list_deep_2.json,list,deep,2,3,9,saving,26264
micro,list_deep_2.json,list,deep,2,3,9,writing,208598
micro,list_wide_32.json,list,wide,32,3,162,reading,380474
micro,list_wide_32.json,list,wide,32,3,162,loading,94273
micro,list_wide_32.json,list,wide,32,3,162,saving,56831
micro,list_wide_32.json,list,wide,32,3,162,writing,767007
micro,named_deep_32.json,named,deep,32,3,203,reading,515118
micro,named_deep_32.json,named,deep,32,3,203,loading,44974
micro,named_deep_32.json,named,deep,32,3,203,saving,47748
micro,named_deep_32.json,named,deep,32,3,203,writing,1325946
micro,named_wide_256.json,named,wide,256,3,2536,reading,4311096
micro,named_wide_256.json,named,wide,256,3,2536,loading,170340
micro,named_wide_256.json,named,wide,256,3,2536,saving,144675
