source,file,run,size,activity,ns
gh,mgree_repos.json,1,159905,reading,213114553
gh,mgree_repos.json,1,159905,loading,2147187
gh,mgree_repos.json,1,159905,saving,1859866
gh,mgree_repos.json,1,159905,writing,112974661
ncdc,ncdc_locationcategories.json,1,543,reading,982137
ncdc,ncdc_locationcategories.json,1,543,loading,100856
ncdc,ncdc_locationcategories.json,1,543,saving,52421
ncdc,ncdc_locationcategories.json,1,543,writing,1834428
gov.uk,bank-holidays.json,1,15124,reading,23228984
gov.uk,bank-holidays.json,1,15124,loading,803330
gov.uk,bank-holidays.json,1,15124,saving,481102
gov.uk,bank-holidays.json,1,15124,writing,33572573
fda,tobacco_products.json,1,2345,reading,4114138
fda,tobacco_products.json,1,2345,loading,112508
fda,tobacco_products.json,1,2345,saving,58857
fda,tobacco_products.json,1,2345,writing,2059138
fda,event100.json,1,2945177,reading,3810201919
fda,event100.json,1,2945177,loading,53293859
fda,event100.json,1,2945177,saving,27107375
fda,event100.json,1,2945177,writing,1859137063
json.org,json_eg3.json,1,602,reading,1309572
json.org,json_eg3.json,1,602,loading,56088
json.org,json_eg3.json,1,602,saving,32872
json.org,json_eg3.json,1,602,writing,1199102
fda,tobacco10.json,1,6567,reading,9929919
fda,tobacco10.json,1,6567,loading,170923
fda,tobacco10.json,1,6567,saving,113116
fda,tobacco10.json,1,6567,writing,5134806
rv,animal.json,1,7051,reading,10241573
rv,animal.json,1,7051,loading,242323
rv,animal.json,1,7051,saving,162226
rv,animal.json,1,7051,writing,10861267
doi,doi_10.1000_1.json,1,369,reading,1487347
doi,doi_10.1000_1.json,1,369,loading,97112
doi,doi_10.1000_1.json,1,369,saving,36633
doi,doi_10.1000_1.json,1,369,writing,958831
gh,gh_apache2.json,1,12591,reading,18440172
gh,gh_apache2.json,1,12591,loading,83068
gh,gh_apache2.json,1,12591,saving,50081
gh,gh_apache2.json,1,12591,writing,3750584
gh,ffs_issues.json,1,38158,reading,53090789
gh,ffs_issues.json,1,38158,loading,651696
gh,ffs_issues.json,1,38158,saving,460653
gh,ffs_issues.json,1,38158,writing,34099536
penguin,linux.json,1,64401,reading,88270444
penguin,linux.json,1,64401,loading,781338
penguin,linux.json,1,64401,saving,583210
penguin,linux.json,1,64401,writing,33300083
fda,recall10.json,1,212061,reading,281307538
fda,recall10.json,1,212061,loading,5031993
fda,recall10.json,1,212061,saving,2783789
fda,recall10.json,1,212061,writing,192681840
fda,recall100.json,1,2117776,reading,2765499972
fda,recall100.json,1,2117776,loading,48843709
fda,recall100.json,1,2117776,saving,24751378
fda,recall100.json,1,2117776,writing,2161905967
ncdc,ncdc_datasets.json,1,1625,reading,2706124
ncdc,ncdc_datasets.json,1,1625,loading,389333
ncdc,ncdc_datasets.json,1,1625,saving,77042
ncdc,ncdc_datasets.json,1,1625,writing,3587914
gh,kmt.json,1,4979,reading,7792493
gh,kmt.json,1,4979,loading,127976
gh,kmt.json,1,4979,saving,102195
gh,kmt.json,1,4979,writing,4650740
penguin,rust.json,1,161726,reading,215427783
penguin,rust.json,1,161726,loading,885306
penguin,rust.json,1,161726,saving,868868
penguin,rust.json,1,161726,writing,40147477
gh,mgree.json,1,1331,reading,3010721
gh,mgree.json,1,1331,loading,78317
gh,mgree.json,1,1331,saving,46597
gh,mgree.json,1,1331,writing,1439035
ncdc,ncdc_ewr_station.json,1,191,reading,1410272
ncdc,ncdc_ewr_station.json,1,191,loading,45001
ncdc,ncdc_ewr_station.json,1,191,saving,19913
ncdc,ncdc_ewr_station.json,1,191,writing,618023
rv,agni.json,1,89267,reading,121843753
rv,agni.json,1,89267,loading,2170118
rv,agni.json,1,89267,saving,1730536
rv,agni.json,1,89267,writing,143806171
synthetic,object.json,1,77,reading,1090854
synthetic,object.json,1,77,loading,42932
synthetic,object.json,1,77,saving,17871
synthetic,object.json,1,77,writing,323349
ncdc,ncdc_07030.json,1,111,reading,1093660
ncdc,ncdc_07030.json,1,111,loading,45442
ncdc,ncdc_07030.json,1,111,saving,19165
ncdc,ncdc_07030.json,1,111,writing,400157
rv,demons.json,1,194,reading,1250212
rv,demons.json,1,194,loading,70692
rv,demons.json,1,194,saving,26470
rv,demons.json,1,194,writing,540085
gh,gh_emoji.json,1,173641,reading,231480171
