source,file,kind,direction,magnitude,run,size,activity,ns
micro,named_wide_64.json,named,wide,64,1,616,reading,1794046
micro,named_wide_64.json,named,wide,64,1,616,loading,65472
micro,named_wide_64.json,named,wide,64,1,616,saving,60643
micro,named_wide_64.json,named,wide,64,1,616,writing,2149280
micro,named_deep_64.json,named,deep,64,1,427,reading,1588684
micro,named_deep_64.json,named,deep,64,1,427,loading,87515
micro,named_deep_64.json,named,deep,64,1,427,saving,103328
micro,named_deep_64.json,named,deep,64,1,427,writing,2622524
micro,named_wide_128.json,named,wide,128,1,1256,reading,2059494
micro,named_wide_128.json,named,wide,128,1,1256,loading,91996
micro,named_wide_128.json,named,wide,128,1,1256,saving,106096
micro,named_wide_128.json,named,wide,128,1,1256,writing,5534191
micro,named_deep_16.json,named,deep,16,1,101,reading,362223
micro,named_deep_16.json,named,deep,16,1,101,loading,43981
micro,named_deep_16.json,named,deep,16,1,101,saving,37441
micro,named_deep_16.json,named,deep,16,1,101,writing,792591
micro,named_deep_8.json,named,deep,8,1,53,reading,352882
micro,named_deep_8.json,named,deep,8,1,53,loading,35966
micro,named_deep_8.json,named,deep,8,1,53,saving,21976
micro,named_deep_8.json,named,deep,8,1,53,writing,572041
micro,list_wide_16.json,list,wide,16,1,82,reading,365751
micro,list_wide_16.json,list,wide,16,1,82,loading,59268
micro,list_wide_16.json,list,wide,16,1,82,saving,21791
micro,list_wide_16.json,list,wide,16,1,82,writing,365685
micro,named_wide_32.json,named,wide,32,1,296,reading,667573
micro,named_wide_32.json,named,wide,32,1,296,loading,55806
micro,named_wide_32.json,named,wide,32,1,296,saving,42520
micro,named_wide_32.json,named,wide,32,1,296,writing,1166972
micro,list_wide_8.json,list,wide,8,1,42,reading,980956
micro,list_wide_8.json,list,wide,8,1,42,loading,73391
micro,list_wide_8.json,list,wide,8,1,42,saving,27345
micro,list_wide_8.json,list,wide,8,1,42,writing,365531
micro,named_wide_256.json,named,wide,256,1,2536,reading,4636739
micro,named_wide_256.json,named,wide,256,1,2536,loading,186103
micro,named_wide_256.json,named,wide,256,1,2536,saving,149159
micro,named_wide_256.json,named,wide,256,1,2536,writing,8163737
micro,list_deep_32.json,list,deep,32,1,69,reading,985041
micro,list_deep_32.json,list,deep,32,1,69,loading,65607
micro,list_deep_32.json,list,deep,32,1,69,saving,28571
micro,list_deep_32.json,list,deep,32,1,69,writing,487820
micro,named_wide_4.json,named,wide,4,1,38,reading,275288
micro,named_wide_4.json,named,wide,4,1,38,loading,30785
micro,named_wide_4.json,named,wide,4,1,38,saving,15062
micro,named_wide_4.json,named,wide,4,1,38,writing,315943
micro,list_deep_16.json,list,deep,16,1,37,reading,1049282
micro,list_deep_16.json,list,deep,16,1,37,loading,84015
micro,list_deep_16.json,list,deep,16,1,37,saving,22193
micro,list_deep_16.json,list,deep,16,1,37,writing,374794
micro,named_wide_16.json,named,wide,16,1,146,reading,1124098
micro,named_wide_16.json,named,wide,16,1,146,loading,40925
micro,named_wide_16.json,named,wide,16,1,146,saving,35466
micro,named_wide_16.json,named,wide,16,1,146,writing,801329
micro,named_wide_1.json,named,wide,1,1,11,reading,1081122
micro,named_wide_1.json,named,wide,1,1,11,loading,33407
micro,named_wide_1.json,named,wide,1,1,11,saving,13824
micro,named_wide_1.json,named,wide,1,1,11,writing,209995
micro,list_wide_256.json,list,wide,256,1,1282,reading,2639518
micro,list_wide_256.json,list,wide,256,1,1282,loading,167007
micro,list_wide_256.json,list,wide,256,1,1282,saving,70903
micro,list_wide_256.json,list,wide,256,1,1282,writing,2996199
micro,named_deep_4.json,named,deep,4,1,29,reading,939004
micro,named_deep_4.json,named,deep,4,1,29,loading,35234
micro,named_deep_4.json,named,deep,4,1,29,saving,16376
micro,named_deep_4.json,named,deep,4,1,29,writing,318500
micro,list_wide_32.json,list,wide,32,1,162,reading,1103581
micro,list_wide_32.json,list,wide,32,1,162,loading,67444
micro,list_wide_32.json,list,wide,32,1,162,saving,32917
micro,list_wide_32.json,list,wide,32,1,162,writing,516171
micro,named_wide_8.json,named,wide,8,1,74,reading,1081272
micro,named_wide_8.json,named,wide,8,1,74,loading,35172
micro,named_wide_8.json,named,wide,8,1,74,saving,21633
micro,named_wide_8.json,named,wide,8,1,74,writing,427971
micro,list_wide_128.json,list,wide,128,1,642,reading,1072698
micro,list_wide_128.json,list,wide,128,1,642,loading,113954
micro,list_wide_128.json,list,wide,128,1,642,saving,51077
micro,list_wide_128.json,list,wide,128,1,642,writing,1737955
micro,list_deep_8.json,list,deep,8,1,21,reading,345092
micro,list_deep_8.json,list,deep,8,1,21,loading,57832
micro,list_deep_8.json,list,deep,8,1,21,saving,14479
micro,list_deep_8.json,list,deep,8,1,21,writing,266706
micro,named_wide_2.json,named,wide,2,1,20,reading,997231
micro,named_wide_2.json,named,wide,2,1,20,loading,30225
micro,named_wide_2.json,named,wide,2,1,20,saving,10294
micro,named_wide_2.json,named,wide,2,1,20,writing,253247
micro,list_deep_64.json,list,deep,64,1,133,reading,1068576
micro,list_deep_64.json,list,deep,64,1,133,loading,106687
micro,list_deep_64.json,list,deep,64,1,133,saving,54400
micro,list_deep_64.json,list,deep,64,1,133,writing,928331
micro,list_wide_1.json,list,wide,1,1,7,reading,812433
micro,list_wide_1.json,list,wide,1,1,7,loading,53001
micro,list_wide_1.json,list,wide,1,1,7,saving,10758
micro,list_wide_1.json,list,wide,1,1,7,writing,190103
micro,list_wide_4.json,list,wide,4,1,22,reading,1031775
micro,list_wide_4.json,list,wide,4,1,22,loading,82187
micro,list_wide_4.json,list,wide,4,1,22,saving,13625
micro,list_wide_4.json,list,wide,4,1,22,writing,200714
