source,file,run,size,activity,ns
gh,ffs_issues.json,1,38158,reading,69296711
gh,ffs_issues.json,1,38158,loading,777040
gh,ffs_issues.json,1,38158,saving,460055
gh,ffs_issues.json,1,38158,writing,38041241
ncdc,ncdc_datacategories.json,1,1075,reading,1909794
ncdc,ncdc_datacategories.json,1,1075,loading,35595
ncdc,ncdc_datacategories.json,1,1075,saving,273400
ncdc,ncdc_datacategories.json,1,1075,writing,2890285
gh,mgree_repos.json,1,159905,reading,228361064
gh,mgree_repos.json,1,159905,loading,74252
gh,mgree_repos.json,1,159905,saving,720521
gh,mgree_repos.json,1,159905,writing,117363074
penguin,rust.json,1,161726,reading,240268384
penguin,rust.json,1,161726,loading,34115
penguin,rust.json,1,161726,saving,421129
penguin,rust.json,1,161726,writing,39185037
fda,recall50.json,1,1049501,reading,1487893996
fda,recall50.json,1,1049501,loading,33265
fda,recall50.json,1,1049501,saving,4834577
fda,recall50.json,1,1049501,writing,1053619351
fda,waterpipe.json,1,1955,reading,2822399
fda,waterpipe.json,1,1955,loading,29749
fda,waterpipe.json,1,1955,saving,26415
fda,waterpipe.json,1,1955,writing,1766507
fda,recall.json,1,22475,reading,31800138
fda,recall.json,1,22475,loading,35549
fda,recall.json,1,22475,saving,117754
fda,recall.json,1,22475,writing,20397420
rv,animal.json,1,7051,reading,10177613
rv,animal.json,1,7051,loading,71009
rv,animal.json,1,7051,saving,95793
rv,animal.json,1,7051,writing,10405197
rv,demons.json,1,194,reading,512167
rv,demons.json,1,194,loading,57029
rv,demons.json,1,194,saving,18783
rv,demons.json,1,194,writing,488885
json.org,json_eg2.json,1,242,reading,553047
json.org,json_eg2.json,1,242,loading,32208
json.org,json_eg2.json,1,242,saving,20805
json.org,json_eg2.json,1,242,writing,620909
fda,tobacco.json,1,1144,reading,1771064
fda,tobacco.json,1,1144,loading,31515
fda,tobacco.json,1,1144,saving,24891
fda,tobacco.json,1,1144,writing,929149
ncdc,ncdc_ewr_station.json,1,191,reading,764958
ncdc,ncdc_ewr_station.json,1,191,loading,34923
ncdc,ncdc_ewr_station.json,1,191,saving,21138
ncdc,ncdc_ewr_station.json,1,191,writing,1106006
rv,human_male.json,1,603912,reading,819967893
rv,human_male.json,1,603912,loading,1424168
rv,human_male.json,1,603912,saving,4988525
rv,human_male.json,1,603912,writing,924445987
ncdc,ncdc_07030_stations.json,1,1476,reading,2197240
ncdc,ncdc_07030_stations.json,1,1476,loading,36973
ncdc,ncdc_07030_stations.json,1,1476,saving,33408
ncdc,ncdc_07030_stations.json,1,1476,writing,2806499
doi,doi_10.1000_1.json,1,369,reading,702222
doi,doi_10.1000_1.json,1,369,loading,30732
doi,doi_10.1000_1.json,1,369,saving,22394
doi,doi_10.1000_1.json,1,369,writing,1010672
ncdc,ncdc_stations_big.json,1,200908,reading,273808532
ncdc,ncdc_stations_big.json,1,200908,loading,35518
ncdc,ncdc_stations_big.json,1,200908,saving,1674501
ncdc,ncdc_stations_big.json,1,200908,writing,376284430
ncdc,ncdc_datatypes.json,1,4013,reading,5761125
ncdc,ncdc_datatypes.json,1,4013,loading,29695
ncdc,ncdc_datatypes.json,1,4013,saving,52976
ncdc,ncdc_datatypes.json,1,4013,writing,5798143
gh,mgree.json,1,1331,reading,2099206
gh,mgree.json,1,1331,loading,224645
gh,mgree.json,1,1331,saving,42763
gh,mgree.json,1,1331,writing,1579044
rv,agni.json,1,89267,reading,120640734
rv,agni.json,1,89267,loading,230645
rv,agni.json,1,89267,saving,731564
rv,agni.json,1,89267,writing,151015899
ncdc,ncdc_07030.json,1,111,reading,377942
ncdc,ncdc_07030.json,1,111,loading,30952
ncdc,ncdc_07030.json,1,111,saving,14775
ncdc,ncdc_07030.json,1,111,writing,442002
fda,event.json,1,1819,reading,2790281
