source,file,kind,direction,magnitude,run,size,activity,ns
micro,named_deep_32.json,named,deep,32,1,203,reading,651229
micro,named_deep_32.json,named,deep,32,1,203,loading,29634
micro,named_deep_32.json,named,deep,32,1,203,saving,45523
micro,named_deep_32.json,named,deep,32,1,203,writing,1431514
micro,list_wide_256.json,list,wide,256,1,1282,reading,1833101
micro,list_wide_256.json,list,wide,256,1,1282,loading,149925
micro,list_wide_256.json,list,wide,256,1,1282,saving,76724
micro,list_wide_256.json,list,wide,256,1,1282,writing,3458238
micro,named_wide_256.json,named,wide,256,1,2536,reading,4600889
micro,named_wide_256.json,named,wide,256,1,2536,loading,152419
micro,named_wide_256.json,named,wide,256,1,2536,saving,179334
micro,named_wide_256.json,named,wide,256,1,2536,writing,8669174
micro,list_deep_4.json,list,deep,4,1,13,reading,1240628
micro,list_deep_4.json,list,deep,4,1,13,loading,59429
micro,list_deep_4.json,list,deep,4,1,13,saving,14969
micro,list_deep_4.json,list,deep,4,1,13,writing,254908
micro,named_wide_64.json,named,wide,64,1,616,reading,1404748
micro,named_wide_64.json,named,wide,64,1,616,loading,79733
micro,named_wide_64.json,named,wide,64,1,616,saving,82952
micro,named_wide_64.json,named,wide,64,1,616,writing,2845119
micro,list_wide_1.json,list,wide,1,1,7,reading,1105074
micro,list_wide_1.json,list,wide,1,1,7,loading,50432
micro,list_wide_1.json,list,wide,1,1,7,saving,11318
micro,list_wide_1.json,list,wide,1,1,7,writing,176260
micro,named_deep_8.json,named,deep,8,1,53,reading,1162817
micro,named_deep_8.json,named,deep,8,1,53,loading,34717
micro,named_deep_8.json,named,deep,8,1,53,saving,17107
micro,named_deep_8.json,named,deep,8,1,53,writing,469553
micro,named_wide_32.json,named,wide,32,1,296,reading,1546603
micro,named_wide_32.json,named,wide,32,1,296,loading,42311
micro,named_wide_32.json,named,wide,32,1,296,saving,32940
micro,named_wide_32.json,named,wide,32,1,296,writing,1247418
micro,list_wide_4.json,list,wide,4,1,22,reading,1081501
micro,list_wide_4.json,list,wide,4,1,22,loading,66448
micro,list_wide_4.json,list,wide,4,1,22,saving,13130
micro,list_wide_4.json,list,wide,4,1,22,writing,192963
micro,named_wide_1.json,named,wide,1,1,11,reading,902996
micro,named_wide_1.json,named,wide,1,1,11,loading,30349
micro,named_wide_1.json,named,wide,1,1,11,saving,8897
micro,named_wide_1.json,named,wide,1,1,11,writing,193668
micro,list_wide_8.json,list,wide,8,1,42,reading,929572
micro,list_wide_8.json,list,wide,8,1,42,loading,46723
micro,list_wide_8.json,list,wide,8,1,42,saving,13667
micro,list_wide_8.json,list,wide,8,1,42,writing,238063
micro,named_wide_2.json,named,wide,2,1,20,reading,343674
micro,named_wide_2.json,named,wide,2,1,20,loading,32193
micro,named_wide_2.json,named,wide,2,1,20,saving,11237
micro,named_wide_2.json,named,wide,2,1,20,writing,236575
micro,list_wide_64.json,list,wide,64,1,322,reading,1355815
micro,list_wide_64.json,list,wide,64,1,322,loading,81658
micro,list_wide_64.json,list,wide,64,1,322,saving,29099
micro,list_wide_64.json,list,wide,64,1,322,writing,899073
micro,named_wide_16.json,named,wide,16,1,146,reading,1160596
micro,named_wide_16.json,named,wide,16,1,146,loading,37697
micro,named_wide_16.json,named,wide,16,1,146,saving,27649
micro,named_wide_16.json,named,wide,16,1,146,writing,705388
micro,named_deep_2.json,named,deep,2,1,17,reading,945133
micro,named_deep_2.json,named,deep,2,1,17,loading,32395
micro,named_deep_2.json,named,deep,2,1,17,saving,10378
micro,named_deep_2.json,named,deep,2,1,17,writing,235155
micro,list_wide_128.json,list,wide,128,1,642,reading,1761264
micro,list_wide_128.json,list,wide,128,1,642,loading,91849
micro,list_wide_128.json,list,wide,128,1,642,saving,47195
micro,list_wide_128.json,list,wide,128,1,642,writing,1751689
micro,list_wide_32.json,list,wide,32,1,162,reading,1215960
micro,list_wide_32.json,list,wide,32,1,162,loading,82178
micro,list_wide_32.json,list,wide,32,1,162,saving,33193
micro,list_wide_32.json,list,wide,32,1,162,writing,527669
micro,list_deep_64.json,list,deep,64,1,133,reading,1212173
micro,list_deep_64.json,list,deep,64,1,133,loading,66676
